,Unnamed: 0_album,Album,Song_Name,Formatted_name,lyrics,song_clean,album_clean,Unnamed: 0_spotify,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
20,37,FearlessPlatinumEdition,JumpThenFall,Jump Then Fall,,jumpthenfall,fearlessplatinumedition,524,Jump Then Fall,Fearless (Platinum Edition),2008-11-11,1,6WWvcA62QlnRguluWAk6bv,spotify:track:6WWvcA62QlnRguluWAk6bv,0.111,0.618,0.687,0.0,0.0693,-5.737,0.0271,79.991,0.82,41,237066
21,38,FearlessPlatinumEdition,Fearless,Fearless,,fearless,fearlessplatinumedition,530,Fearless,Fearless (Platinum Edition),2008-11-11,7,2okho7vU7Nsq1UZD0kgIMi,spotify:track:2okho7vU7Nsq1UZD0kgIMi,0.0364,0.598,0.714,1.04e-06,0.31,-4.397,0.0273,99.979,0.467,50,242000
22,39,FearlessPlatinumEdition,TheWayILovedYou,The Way I Loved You,,thewayilovedyou,fearlessplatinumedition,539,The Way I Loved You,Fearless (Platinum Edition),2008-11-11,16,4pEZUytwBzha5Un6m3SCFf,spotify:track:4pEZUytwBzha5Un6m3SCFf,0.0322,0.436,0.712,0.0,0.111,-3.689,0.0329,160.886,0.379,48,244240
23,40,FearlessPlatinumEdition,Untouchable,Untouchable,,untouchable,fearlessplatinumedition,525,Untouchable,Fearless (Platinum Edition),2008-11-11,2,6ovFJkdau79DuXEvQjPaNH,spotify:track:6ovFJkdau79DuXEvQjPaNH,0.0583,0.419,0.454,3.78e-06,0.0974,-6.809,0.0335,200.017,0.288,43,311040
24,41,FearlessPlatinumEdition,Forever_Always,Forever_Always,,foreveralways,fearlessplatinumedition,540,Forever & Always,Fearless (Platinum Edition),2008-11-11,17,3NKCWBT2uKp8rxSkcvIrdX,spotify:track:3NKCWBT2uKp8rxSkcvIrdX,0.0907,0.605,0.829,0.0,0.106,-4.993,0.0549,128.012,0.514,43,225333
25,42,FearlessPlatinumEdition,TheOtherSideOfTheDoor,The Other Side Of The Door,,theothersideofthedoor,fearlessplatinumedition,529,The Other Side Of The Door,Fearless (Platinum Edition),2008-11-11,6,1yDJcXc549N6AabNBzFAku,spotify:track:1yDJcXc549N6AabNBzFAku,0.169,0.476,0.816,0.0,0.238,-4.279,0.0347,163.847,0.469,39,237600
26,43,FearlessPlatinumEdition,WhiteHorse,White Horse,,whitehorse,fearlessplatinumedition,534,White Horse,Fearless (Platinum Edition),2008-11-11,11,5yKB8qcTSflDercM2PXwot,spotify:track:5yKB8qcTSflDercM2PXwot,0.302,0.585,0.346,0.0,0.102,-8.014,0.0256,92.564,0.195,42,234440
27,44,FearlessPlatinumEdition,Breathe,Breathe,,breathe,fearlessplatinumedition,536,Breathe,Fearless (Platinum Edition),2008-11-11,13,23qIWGhpwvDgC23TyZOUck,spotify:track:23qIWGhpwvDgC23TyZOUck,0.373,0.498,0.486,0.0,0.113,-7.384,0.0273,147.952,0.17,38,263986
28,45,FearlessPlatinumEdition,LoveStory,Love Story,,lovestory,fearlessplatinumedition,532,Love Story,Fearless (Platinum Edition),2008-11-11,9,5hnJCRSo4pxRsaEwT9YusG,spotify:track:5hnJCRSo4pxRsaEwT9YusG,0.157,0.618,0.736,0.0,0.073,-3.937,0.0308,118.982,0.307,56,235280
29,46,FearlessPlatinumEdition,ComeInWiththeRain,Come In With the Rain,,comeinwiththerain,fearlessplatinumedition,527,Come In With The Rain,Fearless (Platinum Edition),2008-11-11,4,0cEG04R5cldkTLzK6phlcn,spotify:track:0cEG04R5cldkTLzK6phlcn,0.0961,0.527,0.461,2.47e-06,0.24,-6.172,0.0256,143.94,0.23,39,238093
